pasture,patch,plot,BurnYr,site
3 Pasture,1,1,2022,Silty
3 Pasture,1,2,2022,Silty-Steep
3 Pasture,2,3,2024,Shallow
3 Pasture,2,4,2024,Silty-Steep
3 Pasture,3,5,2026,Silty
3 Pasture,3,6,2026,Silty-Steep
N 2a,1,7,2024,Silty
N 2a,1,8,2024,Silty-Steep
N 2a,2,9,2022,Sandy
N 2a,2,10,2022,Silty-Steep
N 2a,3,12,2026,Sandy
N 2a,3,11,2026,Silty
N 2a,3,13,2026,Silty
N 4,1,14,2022,Silty
N 4,1,15,2022,Silty-Steep
N 4,2,16,2026,Shallow
N 4,2,17,2026,Silty-Steep
N 4,3,18,2024,Shallow
N 4,3,18,2024,Silty-Steep
N 4,3,19,2024,Silty-Steep
N 4,3,20,2024,Silty-Steep
S 2b,1,21,2022,Sandy
S 2b,1,22,2022,Silty
S 2b,2,23,2024,Silty
S 2b,2,24,2024,Silty-Steep
S 2b,2,25,2024,Silty-Steep
S 2b,3,26,2026,Sandy
S 2b,3,27,2026,Sandy
S 2b,3,26,2026,Silty-Steep
S 2b,3,27,2026,Silty-Steep
Upper Coal,1,28,2022,Sandy
Upper Coal,1,29,2022,Silty
Upper Coal,2,30,2024,Clays
Upper Coal,2,31,2024,Clays
Upper Coal,2,32,2024,Silty-Steep
Upper Coal,3,33,2026,Clays
Upper Coal,3,34,2026,Silty-Steep
